"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"282","2011_1_18",25.48,25.639999,25.639999,1621700,"Low",24.75
"283","2011_1_19",25.27,24.030001,24.030001,2371500,"High",25.469999
"284","2011_1_19",25.27,24.030001,24.030001,2371500,"Low",23.75
"285","2011_1_20",24.030001,22.620001,22.620001,2279900,"High",24.450001
"286","2011_1_20",24.030001,22.620001,22.620001,2279900,"Low",22.370001
"287","2011_1_21",23.120001,23.040001,23.040001,1217000,"High",23.59
"288","2011_1_21",23.120001,23.040001,23.040001,1217000,"Low",22.709999
"289","2011_1_24",23.530001,24.49,24.49,1645100,"High",24.809999
"290","2011_1_24",23.530001,24.49,24.49,1645100,"Low",23.23
"291","2011_1_25",24.65,24.68,24.68,1271500,"High",24.889999
"292","2011_1_25",24.65,24.68,24.68,1271500,"Low",24.02
"293","2011_1_26",24.709999,24.75,24.75,1079900,"High",24.879999
"294","2011_1_26",24.709999,24.75,24.75,1079900,"Low",24.1
"295","2011_1_27",24.74,24.92,24.92,895700,"High",25.08
"296","2011_1_27",24.74,24.92,24.92,895700,"Low",24.530001
"297","2011_1_28",24.879999,24.01,24.01,1048400,"High",24.879999
"298","2011_1_28",24.879999,24.01,24.01,1048400,"Low",23.75
"299","2011_1_31",24.049999,24.1,24.1,830300,"High",24.120001
"300","2011_1_31",24.049999,24.1,24.1,830300,"Low",23.5
"301","2011_2_1",24.309999,23.91,23.91,707800,"High",24.73
"302","2011_2_1",24.309999,23.91,23.91,707800,"Low",23.540001
"303","2011_2_2",24.16,23.940001,23.940001,569500,"High",24.18
"304","2011_2_2",24.16,23.940001,23.940001,569500,"Low",23.67
"305","2011_2_3",23.82,23.629999,23.629999,512000,"High",23.9
"306","2011_2_3",23.82,23.629999,23.629999,512000,"Low",23.15
"307","2011_2_4",23.440001,23.459999,23.459999,544000,"High",23.67
"308","2011_2_4",23.440001,23.459999,23.459999,544000,"Low",23.219999
"309","2011_2_7",23.26,23.07,23.07,895100,"High",23.26
"310","2011_2_7",23.26,23.07,23.07,895100,"Low",22.879999
"311","2011_2_8",23.780001,24.49,24.49,3504900,"High",25.25
"312","2011_2_8",23.780001,24.49,24.49,3504900,"Low",23
"313","2011_2_9",24.129999,23.209999,23.209999,2635600,"High",24.18
"314","2011_2_9",24.129999,23.209999,23.209999,2635600,"Low",22.790001
"315","2011_2_10",23.26,23.219999,23.219999,836100,"High",23.639999
"316","2011_2_10",23.26,23.219999,23.219999,836100,"Low",22.809999
"317","2011_2_11",23.25,23.25,23.25,634500,"High",23.75
"318","2011_2_11",23.25,23.25,23.25,634500,"Low",22.940001
"319","2011_2_14",23.639999,23.08,23.08,1283100,"High",24.139999
"320","2011_2_14",23.639999,23.08,23.08,1283100,"Low",23.049999
"321","2011_2_15",23.01,22.84,22.84,953700,"High",23.17
"322","2011_2_15",23.01,22.84,22.84,953700,"Low",22.559999
"323","2011_2_16",23.1,24.73,24.73,4115100,"High",24.969999
"324","2011_2_16",23.1,24.73,24.73,4115100,"Low",23.07
"325","2011_2_17",24.629999,23.6,23.6,2618400,"High",25.49
"326","2011_2_17",24.629999,23.6,23.6,2618400,"Low",23.549999
"327","2011_2_18",23.33,23.18,23.18,2370700,"High",23.49
"328","2011_2_18",23.33,23.18,23.18,2370700,"Low",22.959999
"329","2011_2_22",22.879999,21.870001,21.870001,2064600,"High",23
"330","2011_2_22",22.879999,21.870001,21.870001,2064600,"Low",21.780001
"331","2011_2_23",22.18,21.83,21.83,1605600,"High",22.5
"332","2011_2_23",22.18,21.83,21.83,1605600,"Low",21.110001
"333","2011_2_24",21.780001,22.530001,22.530001,1055300,"High",22.58
"334","2011_2_24",21.780001,22.530001,22.530001,1055300,"Low",21.5
"335","2011_2_25",22.809999,23.610001,23.610001,1346300,"High",23.85
"336","2011_2_25",22.809999,23.610001,23.610001,1346300,"Low",22.690001
"337","2011_2_28",23.74,23.889999,23.889999,1051200,"High",24.1
"338","2011_2_28",23.74,23.889999,23.889999,1051200,"Low",23.5
"339","2011_3_1",24.049999,23.940001,23.940001,1106400,"High",24.32
"340","2011_3_1",24.049999,23.940001,23.940001,1106400,"Low",23.700001
"341","2011_3_2",23.82,24.02,24.02,663300,"High",24.280001
"342","2011_3_2",23.82,24.02,24.02,663300,"Low",23.73
"343","2011_3_3",24.48,24.360001,24.360001,640200,"High",24.790001
"344","2011_3_3",24.48,24.360001,24.360001,640200,"Low",24.059999
"345","2011_3_4",24.48,24.950001,24.950001,1580100,"High",24.99
"346","2011_3_4",24.48,24.950001,24.950001,1580100,"Low",23.780001
"347","2011_3_7",24.93,24.940001,24.940001,2033600,"High",25.4
"348","2011_3_7",24.93,24.940001,24.940001,2033600,"Low",24.700001
"349","2011_3_8",24.6,24.66,24.66,1399900,"High",24.959999
"350","2011_3_8",24.6,24.66,24.66,1399900,"Low",24
"351","2011_3_9",24.66,24.719999,24.719999,924800,"High",24.99
"352","2011_3_9",24.66,24.719999,24.719999,924800,"Low",24.27
"353","2011_3_10",24.440001,24.01,24.01,1017000,"High",24.49
"354","2011_3_10",24.440001,24.01,24.01,1017000,"Low",23.73
"355","2011_3_11",23.85,24.07,24.07,930800,"High",24.25
"356","2011_3_11",23.85,24.07,24.07,930800,"Low",23.530001
"357","2011_3_14",23.82,23.25,23.25,1166000,"High",24
"358","2011_3_14",23.82,23.25,23.25,1166000,"Low",23.200001
"359","2011_3_15",22.200001,22.950001,22.950001,1318800,"High",22.959999
"360","2011_3_15",22.200001,22.950001,22.950001,1318800,"Low",21.799999
"361","2011_3_16",22.860001,22.82,22.82,1169700,"High",23.25
"362","2011_3_16",22.860001,22.82,22.82,1169700,"Low",22.690001
"363","2011_3_17",23.24,22.809999,22.809999,922600,"High",23.43
"364","2011_3_17",23.24,22.809999,22.809999,922600,"Low",22.639999
"365","2011_3_18",23.190001,22.959999,22.959999,687900,"High",23.190001
"366","2011_3_18",23.190001,22.959999,22.959999,687900,"Low",22.51
"367","2011_3_21",23.049999,22.73,22.73,411700,"High",23.049999
"368","2011_3_21",23.049999,22.73,22.73,411700,"Low",22.540001
"369","2011_3_22",22.73,22.190001,22.190001,582900,"High",22.860001
